x,LiBi,Li3Bi
629.345,-77.2705,-72.7565
634.779,-77.1718,-72.6862
650.299,-76.895,-72.4722
655.731,-76.8004,-72.3744
669.703,-76.5564,-72.0604
672.126,-76.5198,-72.0313
690.649,-76.244,-71.876
693.077,-76.208,-71.8481
715.965,nan,-71.5019
736.916,nan,-71.1901
757.868,nan,-70.8783
774.457,nan,-70.5651
794.531,nan,-70.3804
815.48,nan,-70.1323
835.561,nan,-69.7565
856.513,nan,-69.4447
877.464,nan,-69.133
897.54,nan,-68.8846
909.762,nan,-68.6974
930.714,nan,-68.3856
951.662,nan,-68.1375
972.617,nan,-67.762
