Temps[s] ; Tension Generateur[V] ; Courant[A] 
2.1696090698242188e-05 ; 0.3187 ; 0.0 
0.5005719661712646 ; 0.3167 ; 0.0 
1.0012283325195312 ; 0.3157 ; 0.0 
1.5014660358428955 ; 0.3148 ; 0.0 
2.0020179748535156 ; 0.3157 ; 0.0 
2.5026402473449707 ; 0.3167 ; 0.0 
3.003201961517334 ; 0.3187 ; 0.0 
3.503826856613159 ; 0.3206 ; 0.0039 
4.004444122314453 ; 0.3236 ; 0.0088 
4.505133867263794 ; 0.3255 ; 0.0137 
5.005692481994629 ; 0.3284 ; 0.0176 
5.506227254867554 ; 0.3314 ; 0.0225 
6.006790637969971 ; 0.3353 ; 0.0274 
6.50741171836853 ; 0.3392 ; 0.0313 
7.007946729660034 ; 0.3441 ; 0.0371 
7.508507966995239 ; 0.349 ; 0.042 
8.009161949157715 ; 0.3529 ; 0.0479 
8.509314060211182 ; 0.3587 ; 0.0547 
9.009872913360596 ; 0.3656 ; 0.0616 
9.510565757751465 ; 0.3705 ; 0.0684 
10.010773420333862 ; 0.3783 ; 0.0753 
10.511432409286499 ; 0.3851 ; 0.0831 
11.012205123901367 ; 0.391 ; 0.0899 
11.512803792953491 ; 0.3978 ; 0.0958 
12.013225555419922 ; 0.4037 ; 0.1017 
12.513792753219604 ; 0.4086 ; 0.1075 
13.014282941818237 ; 0.4115 ; 0.1105 
13.514974594116211 ; 0.4125 ; 0.1114 
14.015629768371582 ; 0.4106 ; 0.1105 
14.516294956207275 ; 0.4096 ; 0.1085 
15.01694631576538 ; 0.4086 ; 0.1085 
15.51762843132019 ; 0.4076 ; 0.1075 
16.01820993423462 ; 0.4066 ; 0.1075 
16.518895626068115 ; 0.4057 ; 0.1075 
17.019517183303833 ; 0.4057 ; 0.1056 
17.520159482955933 ; 0.4047 ; 0.1056 
18.02081274986267 ; 0.4037 ; 0.1056 
18.521445989608765 ; 0.4037 ; 0.1056 
19.02214241027832 ; 0.4037 ; 0.1056 
19.52269220352173 ; 0.4027 ; 0.1046 
20.023322582244873 ; 0.4027 ; 0.1046 
20.52393865585327 ; 0.4027 ; 0.1046 
21.024550676345825 ; 0.4018 ; 0.1056 
21.52517056465149 ; 0.4018 ; 0.1036 
22.025728702545166 ; 0.4018 ; 0.1036 
22.5262508392334 ; 0.4018 ; 0.1036 
23.026797771453857 ; 0.4008 ; 0.1036 
23.527362823486328 ; 0.4008 ; 0.1036 
24.027996301651 ; 0.3998 ; 0.1036 
24.52854084968567 ; 0.4008 ; 0.1036 
25.02910280227661 ; 0.3998 ; 0.1026 
25.52933168411255 ; 0.3998 ; 0.1026 
26.02985644340515 ; 0.3988 ; 0.1026 
26.530475616455078 ; 0.3988 ; 0.1026 
27.031020164489746 ; 0.3988 ; 0.1026 
27.531633138656616 ; 0.3988 ; 0.1017 
28.032255172729492 ; 0.3988 ; 0.1026 
28.532795906066895 ; 0.3988 ; 0.1026 
29.033355712890625 ; 0.3988 ; 0.1026 
29.533939123153687 ; 0.3988 ; 0.1026 
30.034190893173218 ; 0.3978 ; 0.1026 
30.534728288650513 ; 0.3978 ; 0.1017 
31.035263061523438 ; 0.3978 ; 0.1026 
31.53580331802368 ; 0.3978 ; 0.1017 
32.0364294052124 ; 0.3978 ; 0.1017 
32.536977767944336 ; 0.3978 ; 0.1017 
33.03721904754639 ; 0.3978 ; 0.1017 
33.53787016868591 ; 0.3969 ; 0.1017 
34.03848648071289 ; 0.3969 ; 0.1007 
34.539175271987915 ; 0.3969 ; 0.1007 
35.03971982002258 ; 0.3969 ; 0.1017 
35.54039907455444 ; 0.3969 ; 0.1007 
36.04097366333008 ; 0.3959 ; 0.1007 
36.54123377799988 ; 0.3969 ; 0.1017 
37.04178333282471 ; 0.3969 ; 0.1017 
37.54244542121887 ; 0.3969 ; 0.1017 
38.04299569129944 ; 0.3959 ; 0.1007 
38.543676137924194 ; 0.3969 ; 0.1017 
39.04433846473694 ; 0.3969 ; 0.1017 
39.54495596885681 ; 0.3969 ; 0.1007 
40.04557466506958 ; 0.3959 ; 0.1007 
40.54625678062439 ; 0.3969 ; 0.1017 
41.04682159423828 ; 0.3959 ; 0.1017 
41.54748463630676 ; 0.3959 ; 0.1017 
42.04802680015564 ; 0.3959 ; 0.1017 
42.54866814613342 ; 0.3959 ; 0.1007 
43.049306869506836 ; 0.3959 ; 0.1007 
43.54985451698303 ; 0.3959 ; 0.1007 
44.05049705505371 ; 0.3959 ; 0.1017 
44.55116391181946 ; 0.3959 ; 0.1007 
45.05186367034912 ; 0.3959 ; 0.1017 
45.55240869522095 ; 0.3959 ; 0.1017 
46.05304408073425 ; 0.3959 ; 0.1017 
46.55368971824646 ; 0.3959 ; 0.1007 
47.054333448410034 ; 0.3959 ; 0.1017 
47.55496859550476 ; 0.3969 ; 0.1007 
48.05561661720276 ; 0.3959 ; 0.1007 
48.55625057220459 ; 0.3959 ; 0.1017 
49.0568790435791 ; 0.3959 ; 0.1007 
49.557504653930664 ; 0.3959 ; 0.1007 
50.05814027786255 ; 0.3959 ; 0.1007 
50.55876660346985 ; 0.3959 ; 0.1017 
51.05930709838867 ; 0.3959 ; 0.1007 
51.55992269515991 ; 0.3959 ; 0.1017 
52.06046795845032 ; 0.3959 ; 0.1017 
52.56100106239319 ; 0.3959 ; 0.1017 
53.061211585998535 ; 0.3959 ; 0.1017 
53.56183910369873 ; 0.3959 ; 0.1007 
54.06246733665466 ; 0.3959 ; 0.1017 
54.56299710273743 ; 0.3959 ; 0.1017 
55.063515186309814 ; 0.3959 ; 0.1017 
55.56406497955322 ; 0.3959 ; 0.1017 
56.06461572647095 ; 0.3959 ; 0.1017 
56.56520342826843 ; 0.3959 ; 0.1026 
57.06573009490967 ; 0.3959 ; 0.1017 
57.56628131866455 ; 0.3969 ; 0.1026 
58.06685781478882 ; 0.3959 ; 0.1017 
58.56739830970764 ; 0.3969 ; 0.1017 
59.06803894042969 ; 0.3969 ; 0.1026 
59.56867003440857 ; 0.3969 ; 0.1026 
60.069236040115356 ; 0.3978 ; 0.1026 
60.569600105285645 ; 0.3969 ; 0.1036 
61.07015299797058 ; 0.3969 ; 0.1026 
61.570767879486084 ; 0.3969 ; 0.1026 
62.07138466835022 ; 0.3969 ; 0.1026 
62.57194519042969 ; 0.3978 ; 0.1026 
63.07248044013977 ; 0.3969 ; 0.1036 
63.57312488555908 ; 0.3969 ; 0.1036 
64.07342529296875 ; 0.3969 ; 0.1036 
64.57396912574768 ; 0.3978 ; 0.1036 
65.07451105117798 ; 0.3978 ; 0.1036 
65.57514905929565 ; 0.3978 ; 0.1036 
66.0757896900177 ; 0.3978 ; 0.1036 
66.57642149925232 ; 0.3988 ; 0.1046 
